Date,Exercise,Sets x Reps x Weight,RPE,Muscle Group
2025-09-15,Incline Barbell Bench Press,1x10x90lb;2x10x140lb,8,Chest
2025-09-15,Flat Barbell Bench Press,1x5x140lb;2x7x140lb,9,Chest
2025-09-15,Lateral Raises,3x10x25lb,8,Shoulders
2025-09-15,Seated Overhead Dumbbell Press,1x10x25lb;1x10x30lb;1x10x35lb;1x10x40lb,8,Shoulders
2025-09-15,Cable Tricep Pushdown,1x10x50lb;2x10x55lb,8,Triceps
2025-09-15,Overhead Cable Tricep Extension,3x10x35lb,8,Triceps
2025-09-17,Pull Ups,3xfailure,9,Back
2025-09-17,Lat Pulldown,1x10x88lb;1x10x110lb;1x10x121lb;1x8x143lb,8,Back
2025-09-17,Cable Rows,3x10x110lb,8,Back
2025-09-17,Facepulls,1x10x28lb;1x10x33lb;1x10x39lb,7,Rear Delts
2025-09-17,Barbell Row,1x10x25lb;2x10x50lb each side,8,Back
2025-09-17,Dumbbell Bicep Curl,1x10x20lb;2x10x30lb,8,Biceps
2025-09-17,Hammer Curl Dumbbell,3x10x30lb,8,Biceps
2025-09-18,Back Squats,5x10x90lb,8,Legs
2025-09-18,Deadlift,3x10x90lb,9,Back/Legs
2025-09-18,Lunges,3x20x25lb dumbbell,8,Legs
2025-09-18,Dumbbell Bicep Curl,3x10x30lb,8,Biceps
2025-09-18,Cable Tricep Pushdown,3x12x45lb,8,Triceps
2025-09-19,Dumbbell Incline Bench,12x30lb;12x40lb;12x50lb,8,Chest
2025-09-19,Arnold Press,3x10x30lb dumbbell,8,Shoulders
2025-09-19,Close Grip Bench Press,3x10x90lb,8,Triceps
2025-09-19,Upright Rows,3x10x45lb kettlebell,8,Shoulders
2025-09-19,Barbell Curl,3x10x60lb,8,Biceps
2025-09-21,Cable Row,4x10x110lb,8,Back
2025-09-21,Single Arm Dumbbell Row,3x10x50lb,8,Back
2025-09-21,Lat Pulldown,3x10x110lb,8,Back
2025-09-21,Rear Delt Fly,1x10x50lb;1x10x60lb;1x10x70lb,7,Rear Delts
2025-09-21,Preacher Curl,3x10x60lb curl bar,8,Biceps
2025-09-22,Incline Dumbbell Press,4x8x60lb,9,Chest
2025-09-22,Dumbbell Arnold Press,1x10x30lb;1x10x35lb;1x10x40lb,7,Shoulders
2025-09-22,Upright Rows,1x10x30lb;3x10x60lb kettlebell,8,Shoulders
2025-09-22,Machine Chest Fly,1x10x80lb;2x10x90lb,7,Chest
2025-09-22,Overhead Cable Triceps Extension,3x10x44lb,8,Triceps
